,id,name,service_name,service_id,location
1619,66428,Kuusalan hiekkakenttä,Pallokenttä,495,POINT (60.120674 24.427393)
1620,66412,Karuby skolan hiekkakenttä,Pallokenttä,495,POINT (60.099663 24.566069)
1621,66408,Sjökulla skolan hiekkakenttä,Pallokenttä,495,POINT (60.234818 24.401426)
1622,66404,Kirkkonummen urheilupuiston vapaanurmi,Pallokenttä,495,POINT (60.125328 24.446331)
1623,66349,Masalan koulun hiekkakenttä,Pallokenttä,495,POINT (60.16678 24.53949)
1624,66345,Friggesbyn koulun hiekkakenttä,Pallokenttä,495,POINT (60.049862 24.503614)
1625,66341,Luoman hiekkakenttä,Pallokenttä,495,POINT (60.17619 24.544538)
1626,66337,Lindalin hiekkakenttä,Pallokenttä,495,POINT (60.131844 24.424772)
1627,66333,Gesterbyn hiekkakenttä,Pallokenttä,495,POINT (60.1319 24.443768)
1628,66329,Lapinkylän nurmikenttä,Pallokenttä,495,POINT (60.224705 24.447233)
1629,65975,Laajakallion koulun kenttä,Pallokenttä,495,POINT (60.12168 24.472034)
1630,65799,Veikkolan kaukalon hiekkakenttä,Pallokenttä,495,POINT (60.271286 24.439896)
1631,65750,Kartanonrannan hiekkakenttä,Pallokenttä,495,POINT (60.152447 24.549932)
1632,65742,Framnäsin nurmikenttä,Pallokenttä,495,POINT (60.155563 24.527102)
1633,65398,Kivikon ulkoilupuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.247883 25.076439)
1634,65388,Päiväkoti Ruuti / Hiekkakenttä,Pallokenttä,495,POINT (60.244762 25.076097)
1635,65331,Kivikonkaaren pallokenttä / Hiekkakenttä,Pallokenttä,495,POINT (60.240158 25.067606)
1636,65163,Upinniemen koulun hiekkakenttä,Pallokenttä,495,POINT (60.032948 24.364805)
1637,65119,Kantvikin hiekkakenttä,Pallokenttä,495,POINT (60.091732 24.39711)
1638,64995,Pisanpuisto / Nurmikenttä,Pallokenttä,495,POINT (60.175594 24.673258)
1639,64977,Linnanpellonpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.23003 25.107227)
1640,64963,Risto Rytin puisto / Pallokenttä,Pallokenttä,495,POINT (60.187103 25.01469)
1641,64946,Puistokenttä Räckhalsinpuisto,Pallokenttä,495,POINT (60.33369 25.054071)
1642,64945,Puistokenttä Atlaspuisto,Pallokenttä,495,POINT (60.327114 25.01014)
1643,64943,Puistokenttä Paalupuisto,Pallokenttä,495,POINT (60.29869 25.107512)
1644,64933,"Grundskolan Norsen, Kronohagen-enheten / Pallokenttä",Pallokenttä,495,POINT (60.17497 24.955637)
1645,64747,Urheiluhallit Vuosaari / Padelkentät,Pallokenttä,495,POINT (60.208652 25.140675)
1646,64716,Padel Aurinkolahti / Padelkenttä,Pallokenttä,495,POINT (60.203014 25.159542)
1647,63927,Padel Arena Center Myllypuro / Padelkentät,Pallokenttä,495,POINT (60.22095 25.079786)
1648,63926,Billebeino Padel / Padelkenttä,Pallokenttä,495,POINT (60.194298 24.945667)
1649,63794,Kallioimarteentien pienpelikenttä,Pallokenttä,495,POINT (60.313374 25.023523)
1650,63766,Leikkipuisto Mustapuro / Pallokenttä,Pallokenttä,495,POINT (60.217854 25.080996)
1651,63711,Niipperin koulu / hiekkakenttä,Pallokenttä,495,POINT (60.283096 24.74712)
1652,62995,Myyrmäen urheilupuiston pieni tekonurmi (23x15),Pallokenttä,495,POINT (60.262424 24.840416)
1653,62995,Myyrmäen urheilupuiston pieni tekonurmi (23x15),Lähiliikuntapaikka,415,POINT (60.262424 24.840416)
1654,62985,Paloheinän ulkoilualue / Hiekkakenttä,Pallokenttä,495,POINT (60.255806 24.92271)
1655,62973,Vuosaaren liikuntapuisto / Tekonurmikenttä 1,Pallokenttä,495,POINT (60.21308 25.15416)
1656,62963,Siltamäen liikuntapuisto / Vapaaharjoittelualue (nurmi),Pallokenttä,495,POINT (60.27451 24.982847)
1657,62943,Arabianrannan liikuntapuisto / Nurmikenttä,Pallokenttä,495,POINT (60.204 24.97792)
1658,62942,Arabianrannan liikuntapuisto / Kaukalo,Pallokenttä,495,POINT (60.205532 24.97651)
1659,62905,Laajasalon liikuntapuisto / Nurmikenttä 3,Pallokenttä,495,POINT (60.17622 25.060457)
1660,62904,Laajasalon Palloiluhallit Oy / Padelkenttä,Pallokenttä,495,POINT (60.17416 25.057604)
1661,62771,Rekolan liikuntapuiston futsal kenttä,Pallokenttä,495,POINT (60.33269 25.083569)
1662,62757,Hakkilan hiekkakenttä,Pallokenttä,495,POINT (60.283485 25.089922)
1663,61463,Jätkäsaaren liikuntapuisto / Tekonurmikenttä,Pallokenttä,495,POINT (60.154915 24.918413)
1664,60305,Kartanonkosken liikuntapuiston futsalkenttä,Pallokenttä,495,POINT (60.27946 24.954851)
1665,60295,Kartanonkosken liikuntapuiston vapaatekonurmi (45x35)),Pallokenttä,495,POINT (60.280563 24.953606)
1666,60294,Kartanonkosken liikuntapuiston pieni tekonurmikenttä (63x44),Pallokenttä,495,POINT (60.280148 24.954048)
1667,60277,Kaivokselan liikuntapuiston petanque ja boccia kentät,Pallokenttä,495,POINT (60.270126 24.868025)
1668,60274,Raikukujan tekonurmi (50x30),Pallokenttä,495,POINT (60.27813 24.859076)
